endpoint,source_file,tag,body_bytes,json_depth,total_keys,total_nodes,dict_count,list_count,string_count,number_count,bool_count,null_count,max_string_len,avg_string_len,max_list_len,avg_list_len,max_run_length_any_string,avg_run_length_strings,max_special_ratio,avg_special_ratio,max_space_ratio,avg_space_ratio,max_case_flip_ratio,avg_case_flip_ratio,min_unique_char_ratio,avg_unique_char_ratio,max_list_repeat_ratio,avg_list_repeat_ratio,repeated_list_count,large_list_count,long_item_list_count,has_key_field,key_len,key_run_length,key_special_ratio,key_unique_char_ratio,docStatusList_len,docStatusList_repeat_ratio,categoryIdList_len,categoryIdList_repeat_ratio
cms_doc_list,seed_ok_0.json,normal,49.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cms_doc_list,seed_ok_1.json,normal,55.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
cms_doc_list,seed_ok_2.json,normal,72.0,3.0,3.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,7.0,6.333333333333333,1.0,1.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.9047619047619048,1.0,1.0,2.0,0.0,0.0,1.0,7.0,2.0,0.0,0.8571428571428571,1.0,1.0,1.0,1.0
cms_doc_list,seed_ok_3.json,normal,63.0,3.0,3.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
cms_doc_list,seed_ok_4.json,normal,62.0,3.0,3.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,5.5,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.9166666666666667,1.0,0.5,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0
cms_doc_list,seed_ok_5.json,normal,88.0,3.0,3.0,7.0,1.0,2.0,4.0,0.0,0.0,0.0,12.0,8.0,2.0,1.5,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.875,1.0,0.75,1.0,0.0,0.0,1.0,12.0,2.0,0.0,0.6666666666666666,2.0,0.5,1.0,1.0
cms_doc_list,seed_ok_6.json,normal,90.0,3.0,3.0,7.0,1.0,2.0,4.0,0.0,0.0,0.0,11.0,8.5,2.0,1.5,2.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8920454545454546,1.0,0.75,1.0,0.0,0.0,1.0,11.0,2.0,0.0,0.8181818181818182,1.0,1.0,2.0,0.5
cms_doc_list,seed_ok_7.json,normal,68.0,3.0,3.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,11.0,8.5,1.0,0.5,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.8257575757575758,1.0,0.5,1.0,0.0,0.0,1.0,11.0,1.0,0.0,0.8181818181818182,0.0,0.0,1.0,1.0
cms_doc_list,seed_ok_8.json,normal,74.0,3.0,3.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,8.0,7.0,1.0,1.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8333333333333334,1.0,1.0,2.0,0.0,0.0,1.0,8.0,2.0,0.0,0.75,1.0,1.0,1.0,1.0
cms_doc_list,seed_ok_9.json,normal,81.0,3.0,3.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,13.0,9.333333333333334,1.0,1.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.923076923076923,1.0,1.0,2.0,0.0,0.0,1.0,13.0,2.0,0.0,0.7692307692307693,1.0,1.0,1.0,1.0
